,,1d,Translation 1d,1e,Translation 1e,1f,Translation 1f,1i,Translation 1i,2d,Translation 2d,2e,Translation 2e,2f,Translation 2f,2i,Translation 2i,3d,Translation 3d,3e,Translation 3e,3f,Translation 3f,3j,Translation 3j
I mo na i gbongo,Milices chrétiens; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Sans valeur; Pieds; ,"Zanga ,Kodjos,Djrif",,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
fetiche,donner de l'impossibilité à quelqu'un,fetiche,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Jalousie,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
KOTA BE,Chrétien converti à l'islam,KOTA BE,Jalousie,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Enfant qui aurait plusieurs pères; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Ceux de l'ethnie banda sont des calomniateurs; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
HAINE,Prostituée; un Voleur; Sidéens; ,HAINE,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Milices chrétiens; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
UN ANIMAL,Sans valeur; Pieds; ,UN ANIMAL,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
HAINE,donner de l'impossibilité à quelqu'un,HAINE,,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,Jalousie,TU ES UN BANDA,,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Chrétien converti à l'islam,VAGIN DE TA MERE,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
PERE,Enfant qui aurait plusieurs pères; ,PERE,,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Ceux de l'ethnie banda sont des calomniateurs; ,QUALIFICATION NEFASTE,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
BORDELLE,Prostituée; un Voleur; Sidéens; ,BORDELLE,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Milices chrétiens; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
Salete,Sans valeur; Pieds; ,Salete,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
Simple Banda,donner de l'impossibilité à quelqu'un,Simple Banda,,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Jalousie,"Anti Balaka,AK47",Milices chrétiens; ,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Chrétien converti à l'islam,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
I mo na i gbongo,Enfant qui aurait plusieurs pères; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Ceux de l'ethnie banda sont des calomniateurs; ,"Zanga ,Kodjos,Djrif",non déchiffré,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
fetiche,Prostituée; un Voleur; Sidéens; ,fetiche,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Milices chrétiens; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,WA BE AFRIKA,Centrafricain,,,,,,,,,,,,,,,,
KOTA BE,Sans valeur; Pieds; ,KOTA BE,Jalousie,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,donner de l'impossibilité à quelqu'un,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Jalousie,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
HAINE,Chrétien converti à l'islam,HAINE,,,,,,ITA TI BE AFRICA,frère centrafricain,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Enfant qui aurait plusieurs pères; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
UN ANIMAL,Ceux de l'ethnie banda sont des calomniateurs; ,UN ANIMAL,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
HAINE,Prostituée; un Voleur; Sidéens; ,HAINE,,,,,,ITA TI MBI TI BE,Mon frère en chœur; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,Milices chrétiens; ,TU ES UN BANDA,,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Sans valeur; Pieds; ,VAGIN DE TA MERE,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
PERE,donner de l'impossibilité à quelqu'un,PERE,,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Jalousie,QUALIFICATION NEFASTE,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
BORDELLE,Chrétien converti à l'islam,BORDELLE,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Enfant qui aurait plusieurs pères; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
Salete,Ceux de l'ethnie banda sont des calomniateurs; ,Salete,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
Simple Banda,Prostituée; un Voleur; Sidéens; ,Simple Banda,,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Milices chrétiens; ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Sans valeur; Pieds; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,Milice musulman ; ,,,,,,,,,,,,,,,,
I mo na i gbongo,donner de l'impossibilité à quelqu'un,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Jalousie,"Zanga ,Kodjos,Djrif",,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
fetiche,Chrétien converti à l'islam,fetiche,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Enfant qui aurait plusieurs pères; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
KOTA BE,Ceux de l'ethnie banda sont des calomniateurs; ,KOTA BE,Jalousie,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Prostituée; un Voleur; Sidéens; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Milices chrétiens; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
HAINE,Sans valeur; Pieds; ,HAINE,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,donner de l'impossibilité à quelqu'un,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
UN ANIMAL,non déchiffré,UN ANIMAL,,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
HAINE,Jalousie,HAINE,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,Chrétien converti à l'islam,TU ES UN BANDA,,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Enfant qui aurait plusieurs pères; ,VAGIN DE TA MERE,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
PERE,Ceux de l'ethnie banda sont des calomniateurs; ,PERE,,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Prostituée; un Voleur; Sidéens; ,QUALIFICATION NEFASTE,,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
BORDELLE,Milices chrétiens; ,BORDELLE,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Sans valeur; Pieds; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
Salete,donner de l'impossibilité à quelqu'un,Salete,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
Simple Banda,Jalousie,Simple Banda,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Chrétien converti à l'islam,"Anti Balaka,AK47",Milices chrétiens; ,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Enfant qui aurait plusieurs pères; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
I mo na i gbongo,Ceux de l'ethnie banda sont des calomniateurs; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Prostituée; un Voleur; Sidéens; ,"Zanga ,Kodjos,Djrif",,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
fetiche,Milices chrétiens; ,fetiche,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Sans valeur; Pieds; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
KOTA BE,donner de l'impossibilité à quelqu'un,KOTA BE,Jalousie,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,non déchiffré,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Jalousie,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
HAINE,Chrétien converti à l'islam,HAINE,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Enfant qui aurait plusieurs pères; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
UN ANIMAL,Ceux de l'ethnie banda sont des calomniateurs; ,UN ANIMAL,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
HAINE,Prostituée; un Voleur; Sidéens; ,HAINE,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
TU ES UN BANDA,Milices chrétiens; ,TU ES UN BANDA,,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Sans valeur; Pieds; ,VAGIN DE TA MERE,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
PERE,donner de l'impossibilité à quelqu'un,PERE,,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Jalousie,QUALIFICATION NEFASTE,,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
BORDELLE,Chrétien converti à l'islam,BORDELLE,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Enfant qui aurait plusieurs pères; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
Salete,Ceux de l'ethnie banda sont des calomniateurs; ,Salete,,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
Simple Banda,Prostituée; un Voleur; Sidéens; ,Simple Banda,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Milices chrétiens; ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Sans valeur; Pieds; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
I mo na i gbongo,donner de l'impossibilité à quelqu'un,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",non déchiffré,"Zanga ,Kodjos,Djrif",,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
fetiche,Jalousie,fetiche,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Chrétien converti à l'islam,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
KOTA BE,Enfant qui aurait plusieurs pères; ,KOTA BE,Jalousie,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Ceux de l'ethnie banda sont des calomniateurs; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Prostituée; un Voleur; Sidéens; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
HAINE,Milices chrétiens; ,HAINE,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Sans valeur; Pieds; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
UN ANIMAL,donner de l'impossibilité à quelqu'un,UN ANIMAL,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
HAINE,Jalousie,HAINE,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
TU ES UN BANDA,Chrétien converti à l'islam,TU ES UN BANDA,,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Enfant qui aurait plusieurs pères; ,VAGIN DE TA MERE,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
PERE,Ceux de l'ethnie banda sont des calomniateurs; ,PERE,,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Prostituée; un Voleur; Sidéens; ,QUALIFICATION NEFASTE,,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
BORDELLE,Milices chrétiens; ,BORDELLE,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Sans valeur; Pieds; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
Salete,donner de l'impossibilité à quelqu'un,Salete,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
Simple Banda,Jalousie,Simple Banda,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Chrétien converti à l'islam,"Anti Balaka,AK47",Milices chrétiens; ,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Enfant qui aurait plusieurs pères; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
I mo na i gbongo,Ceux de l'ethnie banda sont des calomniateurs; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Prostituée; un Voleur; Sidéens; ,"Zanga ,Kodjos,Djrif",,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
fetiche,Milices chrétiens; ,fetiche,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Sans valeur; Pieds; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
KOTA BE,donner de l'impossibilité à quelqu'un,KOTA BE,Jalousie,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Jalousie,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Chrétien converti à l'islam,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
HAINE,Enfant qui aurait plusieurs pères; ,HAINE,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
UN ANIMAL,Prostituée; un Voleur; Sidéens; ,UN ANIMAL,,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
HAINE,Milices chrétiens; ,HAINE,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
TU ES UN BANDA,Sans valeur; Pieds; ,TU ES UN BANDA,,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,donner de l'impossibilité à quelqu'un,VAGIN DE TA MERE,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
PERE,non déchiffré,PERE,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Jalousie,QUALIFICATION NEFASTE,,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
BORDELLE,Chrétien converti à l'islam,BORDELLE,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Enfant qui aurait plusieurs pères; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
Salete,Ceux de l'ethnie banda sont des calomniateurs; ,Salete,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
Simple Banda,Prostituée; un Voleur; Sidéens; ,Simple Banda,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Milices chrétiens; ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Sans valeur; Pieds; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
I mo na i gbongo,donner de l'impossibilité à quelqu'un,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Jalousie,"Zanga ,Kodjos,Djrif",,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
fetiche,Chrétien converti à l'islam,fetiche,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Enfant qui aurait plusieurs pères; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
KOTA BE,Ceux de l'ethnie banda sont des calomniateurs; ,KOTA BE,Jalousie,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Prostituée; un Voleur; Sidéens; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Milices chrétiens; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
HAINE,Sans valeur; Pieds; ,HAINE,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,donner de l'impossibilité à quelqu'un,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
UN ANIMAL,Prostituée,UN ANIMAL,,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
HAINE,Sorcellerie; ,HAINE,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
TU ES UN BANDA,Handicapé,TU ES UN BANDA,,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Broussard,VAGIN DE TA MERE,,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
PERE,Musulman indicipliné,PERE,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Regrde-le; chiot; ,QUALIFICATION NEFASTE,,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
BORDELLE,Tu es un milice chrétien; ,BORDELLE,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Tu es un étranger profiteur; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
Salete,Les étrangers profiteurs n'ont pas droit à la prise de parole; ,Salete,,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
Simple Banda,Ce sont les peuhls qui ont utilisé les armes contre les centrafrins ,Simple Banda,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Tu as beaucoup fait; ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Tu es un vaut rien,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
I mo na i gbongo,Regarde moi ses gros seins; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",ces mères de l'ethnie yakoma là; ,"Zanga ,Kodjos,Djrif",,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
fetiche,Mauvaise ethnie,fetiche,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,"Hé toi, tu serais infecté ou contaminé (VIH); ",d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
KOTA BE,"Toi le musulman, tu ne me payes pas? ",KOTA BE,Jalousie,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Toi peuhl,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,"ce papa, un grand consommateur d'alcool de traite; ",MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
HAINE,Ton cul;,HAINE,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,"Regarde leurs yeux , les chiens de Touadéra; ",A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
UN ANIMAL,"Ne me provoque pas, car ta mère te donne encore de lait à tèter; ",UN ANIMAL,,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
HAINE,aimes-tu les peuhls non;,HAINE,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
